serialno,sporder,wagp,occp,rac1p,fhisp
2013000086198,1,1900,4760,9,0
2013000086220,1,35000,4130,3,0
2013000086220,2,0,4240,3,0
2013000086220,3,25000,4020,3,0
2013000086220,4,0,,3,0
2013000086220,5,8000,4000,3,0
2013000086449,1,39000,4610,1,0
2013000086449,2,47000,4700,1,0
2013000087190,1,0,9150,2,1
2013000087213,1,220000,120,6,0
2013000087213,2,240000,4820,1,0
2013000087248,1,421000,300,1,0
2013000087248,2,165000,4840,1,0
2013000087248,3,,,1,0
2013000087248,4,,,1,0
2013000087276,1,110000,800,6,0
2013000087276,2,15000,4760,6,0
2013000087276,3,0,,6,0
2013000087276,4,,,6,0
2013000087394,1,6000,2600,9,0
2013000087406,1,145000,710,1,0
2013000088437,1,0,4110,1,0
2013000088437,2,70000,1105,1,0
2013000088437,3,,,1,0
2013000088437,4,,,1,0
2013000088532,1,0,,1,0
2013000088532,2,175000,10,1,0
2013000088532,3,,,1,0
2013000088532,4,,,1,0
2013000088595,1,110000,50,6,0
2013000088595,2,20000,1220,6,0
2013000088892,1,70000,630,1,0
2013000089263,1,103000,800,1,0
2013000089263,2,500,4760,1,0
2013000089581,1,64000,350,6,0
2013000089581,2,63000,2630,6,0
2013000089689,1,120000,4930,1,0
2013000089729,1,40000,5700,1,0
2013000089729,2,,,1,0
2013000090194,1,138000,4965,1,0
2013000090194,2,8000,9050,1,0
2013000090421,1,130000,710,1,0
2013000090421,2,70000,800,1,0
2013000091344,1,45000,4840,1,0
2013000091344,2,53000,1650,1,0
2013000092067,1,0,,1,0
2013000092124,1,0,,1,0
2013000092498,1,116000,230,1,0
2013000092498,2,421000,300,1,0
2013000092703,1,105000,1020,9,0
2013000092703,2,45000,2310,9,0
2013000092886,1,0,4000,6,0
2013000092886,2,0,,6,0
2013000092886,3,,,6,0
2013000092971,1,0,2310,6,0
2013000093419,1,33800,5240,1,0
2013000093419,2,65000,1360,1,0
2013000093687,1,0,,1,0
2013000094804,1,95000,300,1,0
2013000095325,1,0,,6,0
2013000095439,1,55000,5540,1,0
2013000095602,1,0,3310,1,0
2013000096628,1,0,,6,0
2013000096628,2,0,,6,0
2013000096628,3,,,6,0
2013000098970,1,30000,4110,6,0
2013000098970,2,11000,6260,6,0
2013000098970,3,,,6,0
2013000099014,1,0,5700,3,0
2013000099061,1,0,,6,0
2013000099249,1,20000,4510,1,0
2013000099249,2,40000,4510,6,0
2013000099267,1,90000,1050,1,0
2013000099581,1,150000,1030,1,0
2013000100008,1,58000,630,1,0
2013000100228,1,110000,7630,1,0
2013000100228,2,85000,5120,1,0
2013000100463,1,20000,2850,6,0
2013000100636,1,0,5700,1,0
2013000100844,1,25000,8965,2,0
2013000101553,1,0,,2,0
2013000101903,1,0,,8,0
2013000102022,1,0,,1,0
2013000102647,1,0,,6,0
2013000102647,2,0,,6,0
2013000102647,3,3800,3600,9,0
2013000102950,1,1000,3630,6,0
2013000103623,1,96000,4850,6,0
2013000103828,1,83000,1006,1,0
2013000103828,2,135000,50,1,0
2013000103839,1,46000,2320,1,0
2013000104207,1,0,9920,2,0
2013000104207,2,0,,2,0
2013000104451,1,25000,4140,1,0
2013000104451,2,22000,8300,1,0
2013000104451,3,0,,1,0
2013000104451,4,,,1,0
2013000104451,5,0,,1,0
2013000105044,1,130000,1020,1,0
2013000105044,2,80000,50,1,0
2013000105100,1,120000,3850,1,0
2013000105496,1,0,,6,0
2013000105496,2,0,,6,0
2013000105504,1,100000,20,6,0
2013000105504,2,128000,8830,6,0
2013000106774,1,0,4810,1,0
2013000106774,2,42000,4760,1,0
2013000107537,1,0,,7,0
2013000107537,2,63000,230,1,0
2013000107578,1,0,,1,0
2013000107578,2,1000,2000,2,0
2013000107578,3,50000,5940,1,0
2013000107746,1,120000,4700,6,0
2013000107746,2,39000,710,6,0
2013000108449,1,70000,120,2,0
2013000108513,1,60000,5400,6,0
2013000108513,2,50000,4810,6,0
2013000108513,3,0,,6,0
2013000109403,1,0,,1,0
2013000111018,1,0,2200,2,0
2013000111018,2,48500,5860,2,0
2013000112345,1,150000,5260,6,0
2013000112345,2,0,,6,1
2013000112368,1,0,,6,0
2013000112987,1,0,,1,0
