fips,renter_units_2000,renters_over30_2000,pct_costburdened_2000,renter_units_2017,renters_over30_2017,pct_costburdened_2017
06077003602,193,59,0.305699482,525,198,0.377142857
06001433102,408,151,0.370098039,562,212,0.377224199
06013359104,225,90,0.4,243,92,0.378600823
06013352202,109,34,0.311926606,206,78,0.378640777
06013345101,492,195,0.396341463,441,167,0.378684807
06013389200,752,243,0.323138298,649,246,0.379044684
06001420600,281,74,0.263345196,240,91,0.379166667
06075045100,1531,493,0.322011757,1316,499,0.379179331
06075011902,1577,598,0.379201015,1649,626,0.379624015
06001403502,1048,454,0.433206107,946,360,0.380549683
06013321200,1165,467,0.400858369,1374,523,0.380640466
06001404900,904,358,0.396017699,753,287,0.381142098
06001428700,477,85,0.178197065,924,353,0.382034632
06013324001,1620,738,0.455555556,2479,950,0.38321904
06077004703,162,28,0.172839506,300,115,0.383333333
06001441923,1927,755,0.391800727,2143,823,0.384041064
06013303205,176,63,0.357954545,578,222,0.384083045
06013389100,518,163,0.314671815,489,188,0.384458078
06075016802,1416,479,0.338276836,1511,582,0.385175381
06001404600,140,31,0.221428571,122,47,0.385245902
06075047600,1324,431,0.325528701,1338,516,0.385650224
06013359102,623,255,0.409309791,681,263,0.386196769
06077003205,386,122,0.316062176,489,189,0.386503067
06013318000,839,391,0.466030989,656,254,0.387195122
06013345103,349,161,0.461318052,302,117,0.387417219
06075032601,901,340,0.377358491,1097,425,0.387420237
06001441402,390,141,0.361538462,462,179,0.387445887
06001442000,60,44,0.733333333,80,31,0.3875
06075011200,1606,473,0.294520548,1315,511,0.388593156
06013355110,141,75,0.531914894,373,145,0.388739946
06001430101,113,21,0.185840708,252,98,0.388888889
06075025403,706,267,0.378186969,618,241,0.389967638
06013323000,380,122,0.321052632,376,147,0.390957447
06075015300,631,190,0.30110935,647,253,0.391035549
06013391000,174,78,0.448275862,184,72,0.391304348
06013334200,587,355,0.604770017,482,189,0.392116183
06001401700,336,147,0.4375,612,240,0.392156863
06001423601,760,261,0.343421053,683,268,0.39238653
06001435102,537,251,0.467411546,372,146,0.392473118
06013333102,393,149,0.37913486,443,174,0.392776524
06013307204,244,133,0.545081967,254,100,0.393700787
06001450601,157,21,0.133757962,208,82,0.394230769
06013380000,1723,635,0.368543239,1414,558,0.394625177
06013348000,137,53,0.386861314,243,96,0.395061728
06075060502,801,260,0.324594257,774,306,0.395348837
06013345111,753,252,0.334661355,793,314,0.395964691
06001433600,818,298,0.364303178,1148,456,0.397212544
06001400500,951,403,0.423764458,1043,415,0.3978907
06001450200,1439,504,0.350243224,1618,644,0.39802225
06001425103,290,131,0.451724138,841,335,0.398335315
06075035100,1028,342,0.332684825,1232,491,0.398538961
06077004902,489,111,0.226993865,662,264,0.398791541
06013383000,854,295,0.345433255,838,335,0.399761337
06001981900,6,1,0.166666667,25,10,0.4
06077004600,359,92,0.256267409,510,204,0.4
06001425101,602,272,0.451827243,645,258,0.4
06075035201,783,297,0.379310345,616,247,0.400974026
06001405200,1798,538,0.299221357,1765,711,0.402832861
06001437600,331,97,0.29305136,422,170,0.402843602
06013334006,342,112,0.32748538,300,121,0.403333333
06001442601,451,146,0.323725055,375,152,0.405333333
06075020900,1559,604,0.387427838,1571,637,0.40547422
06001403900,1535,569,0.370684039,1421,577,0.406052076
06077001200,532,235,0.441729323,573,233,0.406631763
06013317000,684,241,0.352339181,695,283,0.407194245
06077003114,538,243,0.451672862,1073,437,0.407269338
06077005135,73,28,0.383561644,517,211,0.408123791
06001451703,230,66,0.286956522,262,107,0.408396947
06075030400,450,195,0.433333333,450,184,0.408888889
