FIPS,TotalPop,County,EnviroScore,EnviroPerc,SB535,Ozone,PM2.5,Diesel,Tox_Release,Traffic,Asthma,LowBirthWeight,Poverty,Hispanic,NHWhite,Black,Asian,Other
6059052410,5403,Orange ,34.68068752,67.76390465,No,0.049512456,8.69794377,24.8482887,4447.804992,2538.97,28.19,5.46,25.4,29.1,53.4,1.4,13.4,2.8
6059052411,5182,Orange ,26.21637159,52.31428932,No,0.049512456,8.69794377,22.9390206,3654.491061,2545.06,28.19,4.51,31.1,44.6,39.3,1,12.4,2.7
6059052415,3944,Orange ,18.36934415,34.19094463,No,0.049512456,8.69794377,17.56738166,3846.88563,469.83,28.19,7.33,9.1,12.9,73.9,1.1,9,3.2
6059052416,4006,Orange ,20.64929379,39.96720898,No,0.049512456,8.69794377,11.58351527,3594.314545,498.75,28.19,5.17,24.2,32,51.9,1.5,11.7,2.9
6059052417,6771,Orange ,10.03363231,13.34342288,No,0.047908481,9.53630303,35.02,11302.05926,262.06,23.45,3.25,12.1,7,50.3,1,37.1,4.7
6059052418,12096,Orange ,21.04938181,40.9131038,No,0.047908481,9.1171234,39.8841818,9756.621539,1526.34,20.6,5.11,23.8,11.4,35.6,2.6,45,5.5
6059052419,3456,Orange ,16.65670385,29.47408248,No,0.049512456,10.37,7.997269595,19959.12398,433.29,21.24,6.12,10,7.3,52.7,0.6,35.1,4.2
6059052420,21098,Orange ,12.69614677,19.38453777,No,0.049512456,10.37,15.7460381,14210.07554,543.32,19.51,4.42,9.4,8,36.6,1.3,49.6,4.4
6059052421,5111,Orange ,17.64976551,32.23609535,No,0.049512456,9.53630303,35.02,11865.70759,371.4,23.45,4.92,18,8.7,57.7,1.3,28.6,3.8
6059052422,4165,Orange ,15.96445806,27.63274057,No,0.049512456,8.69794377,11.5407685,5128.783261,479.3,22.74,5.35,6.6,15.2,62.1,2.1,16.2,4.3
6059052423,5545,Orange ,20.1976605,38.81952327,No,0.049512456,8.69794377,8.55583495,3980.550414,511.42,27.37,4.68,28.9,24.6,53.3,2.1,16.6,3.3
6059052424,5015,Orange ,16.52354698,29.13356035,No,0.049512456,8.69794377,9.55265805,3560.361998,531.65,28.19,5.43,21.5,23.4,58,2,13.1,3.5
6059052425,5865,Orange ,16.56319841,29.24706773,No,0.049512456,8.69794377,8.730554749,4161.827342,493.03,28.19,4.72,15.2,22.3,57,2,14.9,3.9
6059052426,7957,Orange ,13.32864473,20.89796948,No,0.051242641,9.53630303,12.5751511,7009.273261,509.87,11.82,4.21,17.9,11.6,56,1.5,26.3,4.6
6059052427,5119,Orange ,10.00103629,13.24252743,No,0.049512456,9.1171234,4.82647804,4703.470857,479.85,9.96,6.07,7.8,13.5,59.5,1.2,20.8,5.1
6059052428,6217,Orange ,8.408106457,9.446336234,No,0.051242641,9.1171234,3.418473277,4059.643306,294.88,13.54,6.04,6.1,13.5,71.1,1.2,9.6,4.6
